date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,12.3,7.7,16,0,,,13,24.1,1029.2,205
2025-01-02 00:00:00,11.7,5.5,16.1,0,,,7.4,22.2,1026.3,249
2025-01-03 00:00:00,12.6,8.1,15.8,0,,,13,38.9,1021.8,217
2025-01-04 00:00:00,12.4,5.4,16.2,0,,,8.8,29.6,1020.9,196
2025-01-05 00:00:00,14.8,13.8,16.7,0,,,25.4,57.4,1015.4,135
2025-01-06 00:00:00,15.1,12.1,16.7,7.2,,,25.3,55.5,1008.5,108
2025-01-07 00:00:00,12.2,9.1,15.1,0,,,20.7,51.8,1015.7,232
2025-01-08 00:00:00,14.4,12.3,16.5,0,,,23.1,61.1,1018,292
2025-01-09 00:00:00,14.9,8.3,18,0,,,16.2,55.5,1016.6,252
2025-01-10 00:00:00,13.7,7.7,18,0.1,,,12.1,35.2,1021.5,274
2025-01-11 00:00:00,13.1,8.8,16.5,7.1,,,18.8,53.7,1018.4,70
2025-01-12 00:00:00,8.3,7.8,9.3,0,,,39.1,68.5,1022.5,155
2025-01-13 00:00:00,9.2,8.1,11.5,0.5,,,37.4,50,1025.2,177
2025-01-14 00:00:00,9.9,7.5,12.3,0.1,,,30.4,48.2,1026.5,119
2025-01-15 00:00:00,8.6,5.6,11.8,0,,,14.2,33.3,1025.1,230
2025-01-16 00:00:00,9.1,4.2,13.5,10.6,,,16.7,33.3,1022.2,130
2025-01-17 00:00:00,11.1,8.8,14.3,2,,,30.1,59.3,1023.9,52
2025-01-18 00:00:00,11.2,10.3,13,4.8,,,38.2,57.4,1020.3,12
2025-01-19 00:00:00,10.6,8.8,13.6,4.9,,,13.5,33.3,1017.9,88
2025-01-20 00:00:00,11.2,5.1,14.7,0.1,,,14.8,35.2,1019,197
2025-01-21 00:00:00,13.9,13,15.9,0,,,14.6,35.2,1016,66
2025-01-22 00:00:00,14.8,13,17.7,0,,,16.7,48.2,1012.7,210
2025-01-23 00:00:00,13.9,7.2,18.7,0,,,11.8,42.6,1014.8,258
2025-01-24 00:00:00,13.3,6.4,17.1,0.3,,,10.8,35.2,1020.3,369
2025-01-25 00:00:00,14.7,10.8,17.4,0.1,,,15.2,42.6,1017.2,318
2025-01-26 00:00:00,13.6,7.9,16.7,0,,,17.2,57.4,1019.6,297
2025-01-27 00:00:00,15.8,14.8,17.2,0,,,28.5,72.2,1012.2,236
2025-01-28 00:00:00,13.7,9.8,16.9,0,,,20.7,66.7,1013.2,282
2025-01-29 00:00:00,12.8,10.1,15.6,0,,,20.7,61.1,1018.3,226
2025-01-30 00:00:00,13.1,7,15.9,0,,,15.9,48.2,1014.6,146
2025-01-31 00:00:00,10.3,6.7,14.4,1.9,,,17.4,38.9,1023.7,116
2025-02-01 00:00:00,8.7,4.8,11.9,0,,,15.6,24.1,1022.2,165
2025-02-02 00:00:00,9.3,4.7,13.3,12.6,,,15.5,37,1016.9,151
2025-02-03 00:00:00,11.2,7.7,14.1,0,,,20.7,42.6,1021.3,228
2025-02-04 00:00:00,10,5.6,15.5,0,,,12.7,25.9,1026.5,305
2025-02-05 00:00:00,9.9,7,14.2,0,,,16.3,38.9,1030.9,318
2025-02-06 00:00:00,10.7,6.5,14.8,0,,,11.4,24.1,1028.2,174
2025-02-07 00:00:00,11.2,5.8,14.7,0,,,11.7,27.8,1022.5,266
2025-02-08 00:00:00,11.1,8,13.6,8.8,,,20.6,42.6,1019.9,129
2025-02-09 00:00:00,9.7,4.1,14.1,0,,,12.1,40.8,1025.9,311
2025-02-10 00:00:00,10.3,2.8,14.8,0,,,6.8,18.5,1025,238
2025-02-11 00:00:00,12.3,5.6,16.2,0,,,10.2,25.9,1020.7,250
2025-02-12 00:00:00,12,4.6,16.2,0,,,9,29.6,1016.5,134
2025-02-13 00:00:00,11.9,7.6,16.2,0.6,,,12.5,33.3,1017.1,185
2025-02-14 00:00:00,11.6,8.2,16.2,0,,,10.2,29.6,1017.5,232
2025-02-15 00:00:00,10.9,5.4,14.2,0,,,8.2,27.8,1016.7,224
2025-02-16 00:00:00,11.7,4.5,15.8,0,,,9,29.6,1014.9,248
2025-02-17 00:00:00,13.2,7.5,17.5,0,,,8.2,18.5,1016.3,283
2025-02-18 00:00:00,13.2,7.3,15.9,0,,,10.5,24.1,1017.5,255
2025-02-19 00:00:00,14.2,10.8,18.1,0,,,12.8,31.5,1019.1,209
2025-02-20 00:00:00,13.2,9.3,15.6,0,,,16.9,33.3,1025.2,143
2025-02-21 00:00:00,12.6,8.2,14.5,0,,,10.2,25.9,1026.8,166
2025-02-22 00:00:00,14.3,11.7,17.9,0,,,15.2,35.2,1021.6,173
2025-02-23 00:00:00,14.2,9.2,18.1,0,,,6.8,24.1,1026.2,142
2025-02-24 00:00:00,13.1,7,16.7,0,,,11.4,31.5,1028.4,262
2025-02-25 00:00:00,14.6,10.3,17.6,0,,,23.4,44.5,1021.6,145
2025-02-26 00:00:00,11.4,6.1,15.6,0,,,22.9,50,1023.2,302
2025-02-27 00:00:00,11.1,3.4,15.2,0,,,9.4,29.6,1021.7,275
2025-02-28 00:00:00,10.4,4.6,15.7,0,,,9.5,24.1,1018.7,167
2025-03-01 00:00:00,12.4,10.7,14.3,0,,,19.1,33.3,1015.8,83
2025-03-02 00:00:00,13.1,11.5,17.7,1.6,,,25.5,42.6,1018.7,148
2025-03-03 00:00:00,14.6,13.7,17.6,0,,,22.5,42.6,1021,63
2025-03-04 00:00:00,14.4,13.1,17.3,0,,,26.5,46.3,1019.7,163
2025-03-05 00:00:00,13.9,12.3,16.3,0,,,25.2,46.3,1020.3,133
2025-03-06 00:00:00,14,12.6,16.2,22.1,,,28.4,50,1017.5,25
2025-03-07 00:00:00,13.4,13.2,14.4,22,,,24.3,37,1014,140
2025-03-08 00:00:00,14.6,13.7,17,0,,,23.7,50,1010,210
2025-03-09 00:00:00,13.5,10.6,15.8,5,,,24.3,57.4,1003.1,60
2025-03-10 00:00:00,13.7,11.3,17.2,6.2,,,17.1,44.5,1004.6,49
2025-03-11 00:00:00,14.6,13.2,17,0,,,19.6,50,1004,122
2025-03-12 00:00:00,14.1,10.8,17.5,0,,,16.8,46.3,1000.6,334
2025-03-13 00:00:00,13.9,10.6,17.2,18.4,,,17.2,51.8,998.7,293
2025-03-14 00:00:00,13.3,9.5,15.6,29.3,,,14.7,61.1,998.6,141
2025-03-15 00:00:00,10.2,5,13,1.4,,,16.3,42.6,1009.2,298
2025-03-16 00:00:00,11.9,4.3,16.4,2.7,,,15.6,35.2,1016.9,437
2025-03-17 00:00:00,11.5,8.3,15.8,0,,,14.2,33.3,1017.2,320
2025-03-18 00:00:00,12.9,7.2,16.2,0.2,,,18.3,40.8,1018.4,200
2025-03-19 00:00:00,14.3,13.4,15.2,0,,,22.5,44.5,1022.6,352
2025-03-20 00:00:00,15.3,14.1,17.3,0,,,25.3,40.8,1021.2,483
2025-03-21 00:00:00,15.2,13.6,17.2,0,,,25.3,44.5,1014,305
2025-03-22 00:00:00,14.7,13,17.1,0.1,,,23.7,53.7,1009.6,174
2025-03-23 00:00:00,14.2,12.1,16.4,0.5,,,20.3,51.8,1008.3,254
2025-03-24 00:00:00,11.4,8.7,14.1,2.7,,,10.4,31.5,1012.8,118
2025-03-25 00:00:00,12.1,8.3,15.7,1.5,,,10.5,29.6,1019,277
2025-03-26 00:00:00,13.4,9.3,16.6,0,,,16.2,48.2,1017.6,383
2025-03-27 00:00:00,12.9,7.5,16.8,0,,,13.1,40.8,1015.4,329
2025-03-28 00:00:00,11.9,6.9,17.5,0,,,10.4,29.6,1013.8,264
2025-03-29 00:00:00,12.2,9.6,15.3,1.1,,,28.2,68.5,1012.1,264
2025-03-30 00:00:00,13.3,9.5,15.5,0,,,44.7,75.9,1016.1,422
2025-03-31 00:00:00,14.1,9.3,18.1,0,,,24,59.3,1015.8,511
2025-04-01 00:00:00,13.4,8.7,16.7,0,,,17.1,38.9,1010.6,406
2025-04-02 00:00:00,13.9,10.8,16.9,0,,,19.2,38.9,1010.6,112
2025-04-03 00:00:00,15,12.5,17.3,0,,,26.6,44.5,1015.7,216
2025-04-04 00:00:00,15.6,13.6,17.7,0,,,26.3,50,1012.3,187
2025-04-05 00:00:00,15.4,10.5,19.3,0,,,11.8,37,1011.8,338
2025-04-06 00:00:00,15.6,11.2,20.9,0,,,13.4,31.5,1011.4,422
2025-04-07 00:00:00,16.3,9.7,19.8,0.1,,,17.6,38.9,1015.5,396
2025-04-08 00:00:00,15.1,10.8,18.7,0,,,12.3,29.6,1022,400
2025-04-09 00:00:00,15.3,12,18.6,0,,,11.3,27.8,1020.2,386
2025-04-10 00:00:00,15.2,11.8,18.4,0,,,15.1,31.5,1020.5,317
2025-04-11 00:00:00,15.1,10.7,18.5,0,,,18.7,35.2,1019.7,214
2025-04-12 00:00:00,16.6,13.6,19.2,4.9,,,12.5,35.2,1012.3,162
2025-04-13 00:00:00,16.1,15.2,17.2,19.1,,,10.3,29.6,1010.2,8
2025-04-14 00:00:00,15.8,13.3,17.2,7,,,8,29.6,1007.1,91
2025-04-15 00:00:00,16.4,14.8,18.6,2,,,20,46.3,1005,197
2025-04-16 00:00:00,14,9.5,17.7,0,,,16.5,46.3,1007.7,272
2025-04-17 00:00:00,13.1,7.8,16.5,0,,,18.5,46.3,1013.1,501
2025-04-18 00:00:00,15.2,10.6,18.2,0,,,15.4,38.9,1015.6,463
2025-04-19 00:00:00,16.6,13,19,0,,,18.7,50,1007.9,385
2025-04-20 00:00:00,15.1,9.8,18.1,0,,,11.1,50,1010.8,225
2025-04-21 00:00:00,13.8,7.8,18.7,0,,,12.7,38.9,1015.4,405
2025-04-22 00:00:00,14.6,6.9,18.7,0.3,,,9.4,25.9,1018.5,258
2025-04-23 00:00:00,15.9,12.2,18.7,0,,,13,27.8,1020.7,364
2025-04-24 00:00:00,15.6,8.7,19.6,0,,,9.3,25.9,1019.1,451
2025-04-25 00:00:00,15.9,8.4,19.2,0,,,11.3,24.1,1016.2,440
2025-04-26 00:00:00,16.6,14.3,19.9,0.1,,,14.5,27.8,1014.7,211
2025-04-27 00:00:00,14.6,12.8,17,0.4,,,17.5,51.8,1018.8,206
2025-04-28 00:00:00,16.7,13.1,20.1,0.5,,,17.8,37,1020.9,375
2025-04-29 00:00:00,16.4,11.1,20.2,0,,,13.4,29.6,1020.6,369
2025-04-30 00:00:00,17.4,14.6,20.7,0,,,23.2,40.8,1018.6,414
2025-05-01 00:00:00,18.3,15.2,21.2,0,,,25.3,42.6,1017.6,346
2025-05-02 00:00:00,18.2,15.2,20.9,2.8,,,22.2,40.8,1016.8,124
2025-05-03 00:00:00,19.6,16.5,22.6,0,,,13.5,35.2,1014.6,231
2025-05-04 00:00:00,18.8,15.9,22.8,0,,,14.9,37,1009.4,385
2025-05-05 00:00:00,18.1,13.7,21.6,9.5,,,14.4,38.9,1007.9,291
2025-05-06 00:00:00,15.1,12.1,18.2,1.6,,,18.4,33.3,1012,175
2025-05-07 00:00:00,15.7,9.3,19.2,0,,,12.7,24.1,1015.1,345
2025-05-08 00:00:00,17,11.1,20.4,0,,,10.5,24.1,1012.8,266
2025-05-09 00:00:00,17.3,13.3,19.9,0,,,12.3,33.3,1013.2,251
2025-05-10 00:00:00,17.8,14.6,20.7,1,,,16.2,35.2,1014.3,176
2025-05-11 00:00:00,17.9,12.3,21.7,4.8,,,11.3,35.2,1012,169
2025-05-12 00:00:00,16.7,10.1,20.8,0,,,8.5,25.9,1013.7,362
2025-05-13 00:00:00,17.8,12.7,20.6,0,,,9.5,24.1,1014.5,310
2025-05-14 00:00:00,16.4,13.6,19.4,4.2,,,11.5,35.2,1014.3,59
2025-05-15 00:00:00,17.6,14.5,21.1,3.6,,,16.1,37,1012.1,260
2025-05-16 00:00:00,18.4,12.7,21.9,0,,,18,44.5,1013.4,489
2025-05-17 00:00:00,18.2,10.1,22.1,0,,,12.5,31.5,1016.8,473
2025-05-18 00:00:00,19.4,10.5,23.7,0,,,9.8,25.9,1017.1,534
2025-05-19 00:00:00,18.8,15.5,22.6,0,,,14.1,31.5,1014.4,168
2025-05-20 00:00:00,19,14,24.2,0,,,14.7,38.9,1016.6,497
2025-05-21 00:00:00,19.3,12.3,23.6,0,,,11.5,29.6,1017.9,507
2025-05-22 00:00:00,16.6,12.8,20.5,1.5,,,16.6,37,1015.4,168
2025-05-23 00:00:00,18.4,13.8,21.7,0,,,25.3,44.5,1016.1,492
2025-05-24 00:00:00,18.2,13.9,21.9,0,,,22.3,48.2,1018.6,544
2025-05-25 00:00:00,18.9,13.7,22.4,0,,,13.7,37,1020.2,520
2025-05-26 00:00:00,19.8,12.2,24,0,,,13.2,25.9,1020.9,458
2025-05-27 00:00:00,19.2,11.5,22.9,0,,,14.1,33.3,1022,477
2025-05-28 00:00:00,20.1,11.3,26.2,0,,,11.6,25.9,1023.2,588
2025-05-29 00:00:00,22,15.4,28.3,0,,,14.2,35.2,1022.3,579
2025-05-30 00:00:00,22.7,16.3,28.1,0,,,10.7,25.9,1021,591
2025-05-31 00:00:00,22.6,15.8,27.3,0,,,10.7,25.9,1020.8,616
2025-06-01 00:00:00,23.5,18,29.4,0,,,11.3,25.9,1019.3,585
2025-06-02 00:00:00,23.5,18.4,28.8,0,,,19.9,31.5,1016.6,407
2025-06-03 00:00:00,23.6,19.4,29.8,0.3,,,16.7,29.6,1012.2,333
2025-06-04 00:00:00,22.3,19.3,25,0,,,16.5,37,1014.1,187
2025-06-05 00:00:00,22.4,16.6,25.8,0,,,9.5,25.9,1016.4,465
2025-06-06 00:00:00,22.6,15.6,27.4,0,,,9.4,25.9,1017.2,498
2025-06-07 00:00:00,22.9,16,26.7,0,,,9.8,24.1,1016,550
2025-06-08 00:00:00,22,17,26.2,0,,,21,35.2,1019.2,552
2025-06-09 00:00:00,22,14.9,26.7,0,,,11.5,27.8,1020.4,596
2025-06-10 00:00:00,23.1,17.2,27.3,0,,,9.2,20.4,1019.6,514
2025-06-11 00:00:00,24.7,16.2,29.6,0,,,10.4,22.2,1016.1,532
2025-06-12 00:00:00,24.4,20.1,28.1,0,,,17.9,31.5,1014.7,482
2025-06-13 00:00:00,24.3,20.3,28.3,0,,,16.9,29.6,1017.6,370
2025-06-14 00:00:00,25.8,20.5,31.2,0,,,18.4,32,1018.2,503
2025-06-15 00:00:00,26.5,20.4,33,0,,,17.8,27.8,1018.6,510
2025-06-16 00:00:00,24.5,19.6,27.7,0,,,26.9,42.6,1020.2,497
2025-06-17 00:00:00,24.8,18.6,29.3,0,,,12.9,29.6,1019.8,612
2025-06-18 00:00:00,24.4,17.8,29.1,0,,,10,22.2,1020.2,602
2025-06-19 00:00:00,24.9,17.4,29.9,0,,,10.6,20.4,1019.6,611
2025-06-20 00:00:00,24.8,17.3,29.1,0,,,11.2,29.6,1019.9,639
2025-06-21 00:00:00,25.5,18.5,30.4,0,,,10.2,29.6,1018.8,627
2025-06-22 00:00:00,25.9,19.1,30.7,0,,,9.3,24.1,1019.3,624
2025-06-23 00:00:00,26.9,20,31,0,,,10.5,22.2,1019,589
2025-06-24 00:00:00,28.1,22.1,32,0,,,10.8,24.1,1017.1,618
2025-06-25 00:00:00,28.2,20.3,34.1,0,,,14.4,25.9,1014.4,665
2025-06-26 00:00:00,26.4,22.7,31.3,0,,,15.4,37,1015.6,670
2025-06-27 00:00:00,26.8,22.2,30.7,0,,,19.5,37,1021.2,818
2025-06-28 00:00:00,28.5,22.2,33.5,0,,,15.4,38.9,1021.5,811
2025-06-29 00:00:00,27.8,20.9,33.5,0,,,10.6,22.2,1019.4,828
2025-06-30 00:00:00,27.4,19.5,31.2,0,,,9.1,22.2,1016.6,820
2025-07-01 00:00:00,27.6,18.9,31.9,0,,,8.8,22.2,1015.2,811
2025-07-02 00:00:00,28.1,20,32.2,0,,,9.7,24.1,1015.4,801
2025-07-03 00:00:00,27.7,21.9,30.9,0,,,16.8,31.5,1018.8,780
2025-07-04 00:00:00,27.5,22.1,31.6,0,,,14.8,33.3,1019.9,775
2025-07-05 00:00:00,28.6,20.9,33.8,0,,,10.4,27.8,1017.2,785
2025-07-06 00:00:00,27.8,22.2,32.3,0,,,11.3,24.1,1013.8,713
2025-07-07 00:00:00,26.6,23.7,29.5,0,,,16.2,31.5,1011.7,549
2025-07-08 00:00:00,24.1,19.3,26.3,0,,,28.6,44.5,1015.2,569
2025-07-09 00:00:00,24.2,19.1,27.7,1.7,,,14.3,27.8,1018.4,754
2025-07-10 00:00:00,24.1,19.7,27.3,2.4,,,8.2,22.2,1017.4,536
2025-07-11 00:00:00,24.9,19,27.9,0,,,9.6,25.9,1014.6,706
2025-07-12 00:00:00,26.3,22.5,29.5,0,,,17.2,35.2,1011.5,472
2025-07-13 00:00:00,26.7,23.1,30.5,0,,,15.2,29.6,1013.8,734
2025-07-14 00:00:00,26.2,19.7,29.8,0,,,12.5,22.2,1019.2,581
2025-07-15 00:00:00,26.7,21.5,31,0,,,16.8,27.8,1018.6,769
2025-07-16 00:00:00,27.1,22.7,31.3,0,,,24,40.8,1018,792
2025-07-17 00:00:00,27.4,22.9,31.4,0,,,13.4,31.5,1015.3,790
2025-07-18 00:00:00,27.3,23.1,30.3,0,,,15.3,29.6,1012.1,740
2025-07-19 00:00:00,27.9,21.8,31.6,0,,,16.9,35.2,1007.9,584
2025-07-20 00:00:00,26.3,20.3,30.3,0,,,15.7,37,1008.4,731
2025-07-21 00:00:00,26.7,23.1,29.3,0,,,23.4,37,1010,640
2025-07-22 00:00:00,25.7,22.6,28.6,0,,,16.1,31.5,1016.2,774
2025-07-23 00:00:00,26.1,20.7,29.4,0,,,12.9,24.1,1013.6,605
2025-07-24 00:00:00,23.4,18.9,25.3,7.7,,,33.6,48.2,1012.7,75
2025-07-25 00:00:00,21.4,17.6,24.6,3,,,25.8,48.2,1015,299
2025-07-26 00:00:00,23.9,17.9,28.7,0,,,14.3,35.2,1017.3,705
2025-07-27 00:00:00,25.1,20.6,29.6,0,,,13.4,27.8,1017,678
2025-07-28 00:00:00,24.7,22,26.9,0,,,26.9,46.3,1015.2,303
2025-07-29 00:00:00,24.2,19.5,26.8,0,,,33.2,51.8,1017,426
2025-07-30 00:00:00,23.6,19.8,27.1,0,,,15.2,35.2,1018.6,482
2025-07-31 00:00:00,24.6,19.7,29,0,,,14.5,29.6,1018.7,751
2025-08-01 00:00:00,24.3,16.2,28.7,0,,,9.8,24.1,1015.7,722
2025-08-02 00:00:00,24.4,19.4,28.3,0,,,11.4,25.9,1014.9,682
2025-08-03 00:00:00,24.1,17.8,27.3,0,,,16.7,35.2,1017.8,687
2025-08-04 00:00:00,24.4,18.5,28.9,0,,,13.3,29.6,1020.8,730
2025-08-05 00:00:00,25.2,18.1,29.6,0,,,10.4,25.9,1019.8,727
2025-08-06 00:00:00,25.8,18.8,30.6,0,,,12.1,25.9,1019.1,742
2025-08-07 00:00:00,26.3,19.6,30.8,0,,,13.2,25.9,1018.4,740
2025-08-08 00:00:00,26.3,21.7,31.6,0,,,13.5,24.1,1018.9,710
2025-08-09 00:00:00,25.2,20.3,28.9,0,,,12.5,25.9,1019.1,634
2025-08-10 00:00:00,26.6,19.7,31.9,0,,,8.8,20.4,1019.4,702
2025-08-11 00:00:00,25.7,18.6,30,0,,,8.6,24.1,1016.9,716
2025-08-12 00:00:00,26.6,18.9,32.1,0,,,9.1,22.2,1015.7,698
2025-08-13 00:00:00,26.9,19,31.4,0,,,7.8,20.4,1015.5,710
2025-08-14 00:00:00,27.2,21.1,32,0,,,10.6,22.2,1016.1,651
